kreiskey1878,county,rb,tax1878_cta,tax1878_cit,tax1878_total,tax1878_tlt,tax1878_tin
333,"Hofgeismar","KAS",51785,14768,157890,1194,2087
334,"Homberg","KAS",37615,11276,105910,0,887
335,"Melsungen","KAS",40698,9035,120025,0,1671
336,"Rotenburg a. F.","KAS",49718,14454,128288,0,1828
337,"Witzenhausen","KAS",43017,15081,127358,0,2255
338,"Wolfhagen","KAS",35644,9898,125892,0,1728
339,"Marburg","KAS",69005,42920,214723,8939,12133
340,"Frankenberg","KAS",35108,5472,89623,0,2016
341,"Kirchhain","KAS",31368,5746,103031,584,1728
342,"Ziegenhain","KAS",55551,11472,168999,0,2590
343,"Fulda","KAS",70922,24987,185777,3599,5868
344,"Hersfeld","KAS",48782,15183,126043,2880,5834
345,"Hünfeld","KAS",40773,4536,97385,0,1923
346,"Hanau","KAS",170411,89165,496913,0,3690
347,"Gelnhausen","KAS",59115,10529,164628,4878,14188
348,"Schlüchtern","KAS",44326,7367,109655,0,1714
349,"Schmalkalden","KAS",44073,11007,106202,10625,15069
350,"Rinteln","KAS",63615,23934,202541,0,5327
351,"Gersfeld","KAS",29023,2448,70646,23911,24841
352,"Dillkreis (Dillenburg)","WIE",50783,17005,136420,0,2738
353,"Oberwesterwald (Marienberg)","WIE",41824,3701,108529,2417,3919
354,"Unterwesterwald (Montabaur)","WIE",60661,5719,179621,0,1680
355,"Oberlahnkreis (Weilburg)","WIE",74152,18119,234104,5772,10154
356,"Unterlahnkreis (Diez)","WIE",114490,41240,350599,2424,6148
357,"Rheingau-Kreis (Rüdesheim)","WIE",100870,47592,290537,2420,4260
358,"Mainkreis (Wiesbaden)","WIE",122701,35746,362603,0,2959
359,"Obertaunus-Kreis (Homburg)","WIE",96024,42041,275013,2000,4929
360,"Untertaunus (Langenschwalb.)","WIE",62378,11612,180277,1485,4460
361,"Hinterlandkreis (Biedenkopf)","WIE",51707,6901,128964,2840,5052
362,"Frankfurt am Main","WIE",22780,2784,51012,0,4974
363,"Koblenz","KOB",165636,182371,577364,0,8221
364,"Sankt Goar","KOB",54361,20451,163921,0,9639
