REGDIST,Industrial_Ratio_1831,is_treated_baseline,MANUFAC,FAMTRADE
63001,0.0,0,0,0
63001,0.0,0,0,0
63001,0.0,0,0,0
63001,0.0,0,0,0
63001,0.0,0,0,13
63001,0.0,0,0,13
63001,0.0,0,0,6
63001,0.0,0,0,13
63002,0.0,0,0,0
63002,0.0,0,0,30
63002,0.0,0,0,2
63002,0.0,0,0,27
63002,0.0,0,0,1
63002,0.0,0,0,17
63002,0.0,0,0,15
63003,0.0,0,0,17
63003,0.0,0,0,4
63003,0.0,0,0,5
63003,0.0,0,0,40
63003,0.0,0,0,5
63003,0.0,0,0,2
63003,0.0,0,0,9
63003,0.0,0,0,5
63003,0.0,0,0,24
63003,0.0,0,0,13
63003,0.0,0,0,63
64001,0.0,0,0,47
64001,0.0,0,0,13
64001,0.0,0,0,0
64001,0.0,0,0,7
64001,0.0,0,0,78
64001,0.0,0,0,1
64001,0.0,0,0,15
64001,0.0,0,0,15
64001,0.0,0,0,10
64002,0.0,0,0,6
64002,0.0,0,0,37
64002,0.0,0,0,9
64002,0.0,0,0,10
64002,0.0,0,0,24
64002,0.0,0,0,8
64002,0.0,0,0,14
64002,0.0,0,0,10
64002,0.0,0,0,56
64002,0.0,0,0,4
64002,0.0,0,0,5
64002,0.0,0,0,15
64002,0.0,0,0,10
65001,0.0,0,0,45
65001,0.0,0,0,146
65001,0.0,0,0,87
65001,0.0,0,0,1
65001,0.0,0,0,221
65001,0.0,0,0,10
65001,0.0,0,0,79
65001,0.0,0,0,76
65001,0.0,0,0,12
65001,0.0,0,0,48
65001,0.0,0,0,63
65001,0.0,0,0,66
65001,0.0,0,0,303
65001,0.0,0,0,294
65001,0.0,0,0,132
65001,0.0,0,0,123
66001,0.0,0,0,28
66001,0.0,0,0,3
66001,0.0,0,0,14
66001,0.0,0,0,85
66001,0.0,0,0,136
66001,0.0,0,0,4
66001,0.0,0,0,18
66001,0.0,0,0,42
66001,0.0,0,0,53
66001,0.0,0,0,2
66002,0.0,0,0,23
66002,0.0,0,0,64
66002,0.0,0,0,4
66003,0.0,0,0,38
66003,0.0,0,0,2
66003,0.0,0,0,98
67001,0.0,0,0,2
67001,0.0,0,0,78
67001,0.0,0,0,1
67001,0.0,0,0,2
67001,0.0,0,0,14
67001,0.0,0,0,2
67001,0.0,0,0,10
67001,0.0,0,0,23
67001,0.0,0,0,15
67002,0.0,0,0,9
67002,0.0,0,0,342
67002,0.0,0,0,16
67002,0.0,0,0,2
67002,0.0,0,0,12
67002,0.0,0,0,46
67002,0.0,0,0,32
67003,0.0,0,0,0
67003,0.0,0,0,20
67003,0.0,0,0,13
67003,0.0,0,0,48
67003,0.0,0,0,7
67003,0.0,0,0,29
67003,0.0,0,0,0
67003,0.0,0,0,10
67003,0.0,0,0,1
67003,0.0,0,0,30
68001,0.0,0,0,13
68001,0.0,0,0,6
68001,0.0,0,0,28
68001,0.0,0,0,28
68001,0.0,0,0,4
68001,0.0,0,0,10
68001,0.0,0,0,2
68001,0.0,0,0,1
68001,0.0,0,0,3
68001,0.0,0,0,144
68001,0.0,0,0,2
68001,0.0,0,0,37
68001,0.0,0,0,67
68001,0.0,0,0,12
68001,0.0,0,0,264
68001,0.0,0,0,2
68001,0.0,0,0,3
68001,0.0,0,0,15
69001,0.0,0,0,27
69001,0.0,0,0,1
69001,0.0,0,0,749
69002,0.0,0,0,34
69002,0.0,0,0,0
69002,0.0,0,0,1
69002,0.0,0,0,2
69002,0.0,0,0,1
70001,0.0,0,0,33
70001,0.0,0,0,35
70001,0.0,0,0,8
70001,0.0,0,0,27
70001,0.0,0,0,5
70001,0.0,0,0,1
70001,0.0,0,0,5
70002,0.0,0,0,353
70003,0.0,0,0,81
70003,0.0,0,0,189
70003,0.0,0,0,1045
71001,0.0,0,0,81
71001,0.0,0,0,0
71001,0.0,0,0,51
71001,0.0,0,0,0
71001,0.0,0,0,20
71001,0.0,0,0,62
71001,0.0,0,0,77
71001,0.0,0,0,131
71001,0.0,0,0,1
71001,0.0,0,0,13
71001,0.0,0,0,7
71002,0.0,0,0,2
71002,0.0,0,0,13
71002,0.0,0,0,19
71002,0.0,0,0,14
71002,0.0,0,0,5
71002,0.0,0,0,55
71003,0.0,0,0,5
71003,0.0,0,0,7
71003,0.0,0,0,29
71003,0.0,0,0,0
71003,0.0,0,0,24
71003,0.0,0,0,7
71003,0.0,0,0,1
71004,0.0,0,0,563
71004,0.0,0,0,10
71004,0.0,0,0,2
71004,0.0,0,0,1
71004,0.0,0,0,8
71004,0.0,0,0,4
71004,0.0,0,0,118
72000,0.0,0,0,79
72000,0.00020506510817184457,1,2,910
72001,0.0,0,0,7
72001,0.0,0,0,116
72001,0.0,0,0,1
72001,0.0,0,0,1
72001,0.0,0,0,6
72001,0.0,0,0,0
72001,0.0,0,0,16
72001,0.0,0,0,0
72001,0.0,0,0,22
72001,0.0,0,0,8
72003,0.0,0,0,14
72003,0.0,0,0,75
72003,0.0,0,0,2
72003,0.0,0,0,1
72003,0.0,0,0,6
72003,0.0,0,0,14
72003,0.0,0,0,12
72003,0.0,0,0,44
72003,0.0,0,0,2
72003,0.0,0,0,0
72003,0.0,0,0,11
72003,0.0,0,0,10
72003,0.0,0,0,5
73001,0.0,0,0,80
73001,0.0,0,0,27
73001,0.0,0,0,420
73001,0.0,0,0,4
73002,0.0,0,0,7
73002,0.0,0,0,55
73002,0.0,0,0,8
73002,0.0,0,0,22
73002,0.0,0,0,3
73002,0.0,0,0,8
73002,0.0,0,0,0
73002,0.0,0,0,4
73003,0.0,0,0,209
73003,0.0,0,0,1
