# Galloway 1994 GMFR replication, census year 1885
# Source: PS Heft 96 (totals only)
# Note: Source gives marital totals but no age breakdown at Kreis level.
# Primary cell: mwf_15_49_direct = Married Female 15-49 (or None where noted), as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1885_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
404,HAN,NEUSTADT,28355,,,,,,,,,,,,,,,,,,,
408,HAN,LINDEN,58464,,,,,,,,,,,,,,,,,,,
411,HAN,SPRINGE,29538,,,,,,,,,,,,,,,,,,,
412,HAN,HAMELN,49346,,,,,,,,,,,,,,,,,,,
413,HIL,PEINE,34068,,,,,,,,,,,,,,,,,,,
417,HIL,MARIENBURG,35999,,,,,,,,,,,,,,,,,,,
418,HIL,GRONAU,19270,,,,,,,,,,,,,,,,,,,
419,HIL,ALFELD,21407,,,,,,,,,,,,,,,,,,,
420,HIL,GOSLAR,40896,,,,,,,,,,,,,,,,,,,
421,HIL,OSTERODE AM HARZ,37920,,,,,,,,,,,,,,,,,,,
422,HIL,DUDERSTADT,25115,,,,,,,,,,,,,,,,,,,
426,HIL,MUNDEN,22223,,,,,,,,,,,,,,,,,,,
427,HIL,USLAR,17285,,,,,,,,,,,,,,,,,,,
428,HIL,EINBECK,24654,,,,,,,,,,,,,,,,,,,
429,HIL,NORTHEIM,30432,,,,,,,,,,,,,,,,,,,
430,HIL,ZELLERFELD,28962,,,,,,,,,,,,,,,,,,,
431,HIL,ILFELD,15179,,,,,,,,,,,,,,,,,,,
435,LUN,GIFHORN,29874,,,,,,,,,,,,,,,,,,,
436,LUN,BURGDORF,34121,,,,,,,,,,,,,,,,,,,
437,LUN,ISENHAGEN,15858,,,,,,,,,,,,,,,,,,,
438,LUN,FALLINGBOSTEL,25444,,,,,,,,,,,,,,,,,,,
439,LUN,SOLTAU,15912,,,,,,,,,,,,,,,,,,,
440,LUN,ULZEN,44156,,,,,,,,,,,,,,,,,,,
441,LUN,LUCHOW,29899,,,,,,,,,,,,,,,,,,,
442,LUN,DANNENBERG,14433,,,,,,,,,,,,,,,,,,,
443,LUN,BLECKEDE,21200,,,,,,,,,,,,,,,,,,,
447,LUN,WINSEN,23385,,,,,,,,,,,,,,,,,,,
451,STA,JORK,21097,,,,,,,,,,,,,,,,,,,
452,STA,STADE,34536,,,,,,,,,,,,,,,,,,,
455,STA,KEHDINGEN,20214,,,,,,,,,,,,,,,,,,,
456,STA,NEUHAUS,28474,,,,,,,,,,,,,,,,,,,
457,STA,HADELN,17086,,,,,,,,,,,,,,,,,,,
458,STA,LEHE,28797,,,,,,,,,,,,,,,,,,,
459,STA,GEESTEMUNDE,33656,,,,,,,,,,,,,,,,,,,
462,STA,OSTERHOLZ,27736,,,,,,,,,,,,,,,,,,,
