# Galloway 1994 GMFR replication, census year 1910
# Source: PS Heft 234:2 (likely Zweiter Theil)
# Note: Direct cell: Married Female 15-44 (1-yr truncation).
# Primary cell: mwf_15_49_direct = Married Female 15-49,
#               as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1910_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
105,FRA,ARNSWALDE,41168,,,,,,,,,,,,,,,,,,,
106,FRA,FRIEDEBERG,53161,,,,,,,,,,,,,,,,,,,
110,FRA,LEBUS,95424,,,,,,,,,,,,,,,,,,,
112,FRA,WESTSTERNBERG,44027,,,,,,,,,,,,,,,,,,,
113,FRA,OSTSTERNBERG,44238,,,,,,,,,,,,,,,,,,,
114,FRA,ZULLICHAU-SCHWIEBUS,48066,,,,,,,,,,,,,,,,,,,
115,FRA,KROSSEN,59668,,,,,,,,,,,,,,,,,,,
119,FRA,LUBBEN,34661,,,,,,,,,,,,,,,,,,,
120,FRA,LUCKAU,74096,,,,,,,,,,,,,,,,,,,
121,FRA,KALAU,94243,,,,,,,,,,,,,,,,,,,
126,FRA,SORAU,87866,,,,,,,,,,,,,,,,,,,
127,FRA,SPREMBERG,35470,,,,,,,,,,,,,,,,,,,
128,STE,DEMMIN,48941,,,,,,,,,,,,,,,,,,,
129,STE,ANKLAM,34084,,,,,,,,,,,,,,,,,,,
130,STE,USEDOM-WOLLIN,55212,,,,,,,,,,,,,,,,,,,
131,STE,UCKERMUNDE,56528,,,,,,,,,,,,,,,,,,,
132,STE,RANDOW,96506,,,,,,,,,,,,,,,,,,,
136,STE,GREIFENHAGEN,47827,,,,,,,,,,,,,,,,,,,
137,STE,PYRITZ,43917,,,,,,,,,,,,,,,,,,,
141,STE,SAATZIG,41482,,,,,,,,,,,,,,,,,,,
142,STE,NAUGARD,54010,,,,,,,,,,,,,,,,,,,
143,STE,KAMMIN,42611,,,,,,,,,,,,,,,,,,,
144,STE,GREIFENBERG,41152,,,,,,,,,,,,,,,,,,,
145,STE,REGENWALDE,45991,,,,,,,,,,,,,,,,,,,
146,KOS,SCHIVELBEIN,21231,,,,,,,,,,,,,,,,,,,
147,KOS,DRAMBURG,35360,,,,,,,,,,,,,,,,,,,
148,KOS,NEUSTETTIN,76267,,,,,,,,,,,,,,,,,,,
149,KOS,BELGARD,48504,,,,,,,,,,,,,,,,,,,
150,KOS,KOLBERG-KORLIN,63776,,,,,,,,,,,,,,,,,,,
151,KOS,KOSLIN,51311,,,,,,,,,,,,,,,,,,,
152,KOS,BUBLITZ,20960,,,,,,,,,,,,,,,,,,,
153,KOS,SCHLAWE,74232,,,,,,,,,,,,,,,,,,,
154,KOS,RUMMELSBURG,35814,,,,,,,,,,,,,,,,,,,
158,KOS,LAUENBURG,52851,,,,,,,,,,,,,,,,,,,
159,KOS,BUTOW,28151,,,,,,,,,,,,,,,,,,,
160,STR,RUGEN,48159,,,,,,,,,,,,,,,,,,,
164,STR,FRANZBURG,42189,,,,,,,,,,,,,,,,,,,
165,STR,GREIFSWALD,63858,,,,,,,,,,,,,,,,,,,
168,STR,GRIMMEN,36954,,,,,,,,,,,,,,,,,,,
169,POS,WRESCHEN,39878,,,,,,,,,,,,,,,,,,,
170,POS,JAROTSCHIN,51626,,,,,,,,,,,,,,,,,,,
171,POS,SCHRODA,49176,,,,,,,,,,,,,,,,,,,
172,POS,SCHRIMM,57483,,,,,,,,,,,,,,,,,,,
176,POS,POSEN OST,49119,,,,,,,,,,,,,,,,,,,
177,POS,POSEN WEST,43129,,,,,,,,,,,,,,,,,,,
178,POS,OBORNIK,55880,,,,,,,,,,,,,,,,,,,
179,POS,SAMTER,66856,,,,,,,,,,,,,,,,,,,
180,POS,BIRNBAUM,28887,,,,,,,,,,,,,,,,,,,
181,POS,SCHWERIN,21620,,,,,,,,,,,,,,,,,,,
182,POS,MESERITZ,53306,,,,,,,,,,,,,,,,,,,
183,POS,NEUTOMISCHEL,34292,,,,,,,,,,,,,,,,,,,
184,POS,GRATZ,36483,,,,,,,,,,,,,,,,,,,
185,POS,BOMST,63120,,,,,,,,,,,,,,,,,,,
186,POS,FRAUSTADT,28914,,,,,,,,,,,,,,,,,,,
187,POS,SCHMIEGEL,36383,,,,,,,,,,,,,,,,,,,
188,POS,KOSTEN,47325,,,,,,,,,,,,,,,,,,,
189,POS,LISSA,44579,,,,,,,,,,,,,,,,,,,
190,POS,RAWITSCH,50523,,,,,,,,,,,,,,,,,,,
191,POS,GOSTYN,48326,,,,,,,,,,,,,,,,,,,
192,POS,KOSCHMIN,33519,,,,,,,,,,,,,,,,,,,
193,POS,KROTOSCHIN,46874,,,,,,,,,,,,,,,,,,,
194,POS,PLESCHEN,37362,,,,,,,,,,,,,,,,,,,
195,POS,OSTROWO,43887,,,,,,,,,,,,,,,,,,,
196,POS,ADELNAU,36306,,,,,,,,,,,,,,,,,,,
197,POS,SCHILDBERG,37290,,,,,,,,,,,,,,,,,,,
198,POS,KEMPEN,37050,,,,,,,,,,,,,,,,,,,
199,BRO,FILEHNE,33653,,,,,,,,,,,,,,,,,,,
200,BRO,CZARNIKAU,42287,,,,,,,,,,,,,,,,,,,
202,BRO,KOLMAR,76020,,,,,,,,,,,,,,,,,,,
203,BRO,WIRSITZ,67219,,,,,,,,,,,,,,,,,,,
207,BRO,SCHUBIN,48304,,,,,,,,,,,,,,,,,,,
208,BRO,HOHENSALZA,77294,,,,,,,,,,,,,,,,,,,
209,BRO,STRELNO,37620,,,,,,,,,,,,,,,,,,,
210,BRO,MOGILNO,49253,,,,,,,,,,,,,,,,,,,
211,BRO,ZNIN,40210,,,,,,,,,,,,,,,,,,,
212,BRO,WONGROWITZ,52574,,,,,,,,,,,,,,,,,,,
213,BRO,GNESEN,56250,,,,,,,,,,,,,,,,,,,
214,BRO,WITKOWO,29094,,,,,,,,,,,,,,,,,,,
215,BRE,NAMSLAU,33452,,,,,,,,,,,,,,,,,,,
216,BRE,GROSS WARTENBERG,48414,,,,,,,,,,,,,,,,,,,
217,BRE,OLS,65408,,,,,,,,,,,,,,,,,,,
218,BRE,TREBNITZ,52453,,,,,,,,,,,,,,,,,,,
219,BRE,MILITSCH,47679,,,,,,,,,,,,,,,,,,,
220,BRE,GUHRAU,33775,,,,,,,,,,,,,,,,,,,
221,BRE,STEINAU,23893,,,,,,,,,,,,,,,,,,,
222,BRE,WOHLAU,43985,,,,,,,,,,,,,,,,,,,
223,BRE,NEUMARKT,57155,,,,,,,,,,,,,,,,,,,
227,BRE,OHLAU,54963,,,,,,,,,,,,,,,,,,,
231,BRE,STREHLEN,35978,,,,,,,,,,,,,,,,,,,
232,BRE,NIMPTSCH,29127,,,,,,,,,,,,,,,,,,,
233,BRE,MUNSTERBERG,32036,,,,,,,,,,,,,,,,,,,
234,BRE,FRANKENSTEIN,45312,,,,,,,,,,,,,,,,,,,
235,BRE,REICHENBACH,69779,,,,,,,,,,,,,,,,,,,
239,BRE,STRIEGAU,45936,,,,,,,,,,,,,,,,,,,
240,BRE,WALDENBURG,168714,,,,,,,,,,,,,,,,,,,
241,BRE,GLATZ,64852,,,,,,,,,,,,,,,,,,,
242,BRE,NEURODE,52872,,,,,,,,,,,,,,,,,,,
243,BRE,HABELSCHWERDT,56939,,,,,,,,,,,,,,,,,,,
244,LIE,GRUNBERG,58118,,,,,,,,,,,,,,,,,,,
245,LIE,FREISTADT,55707,,,,,,,,,,,,,,,,,,,
246,LIE,SAGAN,59605,,,,,,,,,,,,,,,,,,,
247,LIE,SPROTTAU,39882,,,,,,,,,,,,,,,,,,,
248,LIE,GLOGAU,75811,,,,,,,,,,,,,,,,,,,
249,LIE,LUBEN,33067,,,,,,,,,,,,,,,,,,,
250,LIE,BUNZLAU,64813,,,,,,,,,,,,,,,,,,,
251,LIE,GOLDBERG-HAINAU,51843,,,,,,,,,,,,,,,,,,,
255,LIE,JAUER,36143,,,,,,,,,,,,,,,,,,,
256,LIE,SCHONAU,26020,,,,,,,,,,,,,,,,,,,
257,LIE,BOLKENHAIN,29991,,,,,,,,,,,,,,,,,,,
258,LIE,LANDESHUT,52555,,,,,,,,,,,,,,,,,,,
259,LIE,HIRSCHBERG,87952,,,,,,,,,,,,,,,,,,,
260,LIE,LOWENBERG,62365,,,,,,,,,,,,,,,,,,,
261,LIE,LAUBAN,72423,,,,,,,,,,,,,,,,,,,
265,LIE,ROTHENBURG,71564,,,,,,,,,,,,,,,,,,,
266,LIE,HOYERSWERDA,43067,,,,,,,,,,,,,,,,,,,
267,OPP,KREUZBURG,51906,,,,,,,,,,,,,,,,,,,
268,OPP,ROSENBERG,52341,,,,,,,,,,,,,,,,,,,
272,OPP,GROSS STREHLITZ,73383,,,,,,,,,,,,,,,,,,,
273,OPP,LUBLINITZ,50388,,,,,,,,,,,,,,,,,,,
277,OPP,TOST-GLEIWITZ,80515,,,,,,,,,,,,,,,,,,,
278,OPP,TARNOWITZ,77583,,,,,,,,,,,,,,,,,,,
283,OPP,ZABRZE,159810,,,,,,,,,,,,,,,,,,,
287,OPP,PLESS,122897,,,,,,,,,,,,,,,,,,,
288,OPP,RYBNIK,131630,,,,,,,,,,,,,,,,,,,
292,OPP,KOSEL,75673,,,,,,,,,,,,,,,,,,,
293,OPP,LEOBSCHUTZ,82635,,,,,,,,,,,,,,,,,,,
294,OPP,NEUSTADT,97537,,,,,,,,,,,,,,,,,,,
295,OPP,FALKENBERG,37526,,,,,,,,,,,,,,,,,,,
299,OPP,GROTTKAU,40610,,,,,,,,,,,,,,,,,,,
300,MAG,OSTERBURG,45206,,,,,,,,,,,,,,,,,,,
301,MAG,SALZWEDEL,59838,,,,,,,,,,,,,,,,,,,
302,MAG,GARDELEGEN,62621,,,,,,,,,,,,,,,,,,,
306,MAG,JERICHOW I,81386,,,,,,,,,,,,,,,,,,,
307,MAG,JERICHOW II,60403,,,,,,,,,,,,,,,,,,,
308,MAG,KALBE,108798,,,,,,,,,,,,,,,,,,,
309,MAG,WANZLEBEN,69463,,,,,,,,,,,,,,,,,,,
313,MAG,WOLMIRSTEDT,51397,,,,,,,,,,,,,,,,,,,
314,MAG,NEUHALDENSLEBEN,68087,,,,,,,,,,,,,,,,,,,
315,MAG,OSCHERSLEBEN,57154,,,,,,,,,,,,,,,,,,,
325,MAG,WERNIGERODE,35915,,,,,,,,,,,,,,,,,,,
326,MER,LIEBENWERDA,66915,,,,,,,,,,,,,,,,,,,
327,MER,TORGAU,59399,,,,,,,,,,,,,,,,,,,
328,MER,SCHWEINITZ,39816,,,,,,,,,,,,,,,,,,,
329,MER,WITTENBERG,69579,,,,,,,,,,,,,,,,,,,
330,MER,BITTERFELD,76548,,,,,,,,,,,,,,,,,,,
331,MER,SAALKREIS,81683,,,,,,,,,,,,,,,,,,,
335,MER,DELITZSCH,76398,,,,,,,,,,,,,,,,,,,
