# Galloway 1994 GMFR replication, census year 1910
# Source: PS Heft 234:2 (likely Zweiter Theil)
# Note: Direct cell: Married Female 15-44 (1-yr truncation).
# Primary cell: mwf_15_49_direct = Married Female 15-49,
#               as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1910_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
485,AUR,WITTMUND,69678,,,,,,,,,,,,,,,,,,,
486,AUR,AURICH,42339,,,,,,,,,,,,,,,,,,,
487,AUR,LEER,56645,,,,,,,,,,,,,,,,,,,
488,AUR,WEENER,20537,,,,,,,,,,,,,,,,,,,
489,MUN,TECKLENBURG,59620,,,,,,,,,,,,,,,,,,,
490,MUN,WARENDORF,32952,,,,,,,,,,,,,,,,,,,
491,MUN,BECKUM,63800,,,,,,,,,,,,,,,,,,,
492,MUN,LUDINGHAUSEN,57161,,,,,,,,,,,,,,,,,,,
496,MUN,STEINFURT,84242,,,,,,,,,,,,,,,,,,,
497,MUN,KOESFELD,57578,,,,,,,,,,,,,,,,,,,
498,MUN,AHAUS,54781,,,,,,,,,,,,,,,,,,,
499,MUN,BORKEN,69577,,,,,,,,,,,,,,,,,,,
504,MIN,MINDEN,113620,,,,,,,,,,,,,,,,,,,
505,MIN,LUBBECKE,53546,,,,,,,,,,,,,,,,,,,
509,MIN,HALLE,31894,,,,,,,,,,,,,,,,,,,
513,MIN,WIEDENBRUCK,62430,,,,,,,,,,,,,,,,,,,
514,MIN,PADERBORN,64629,,,,,,,,,,,,,,,,,,,
515,MIN,BUREN,38405,,,,,,,,,,,,,,,,,,,
516,MIN,WARBURG,33383,,,,,,,,,,,,,,,,,,,
517,MIN,HOXTER,58532,,,,,,,,,,,,,,,,,,,
518,ARN,ARNSBERG,64594,,,,,,,,,,,,,,,,,,,
519,ARN,MESCHEDE,41819,,,,,,,,,,,,,,,,,,,
520,ARN,BRILON,42462,,,,,,,,,,,,,,,,,,,
521,ARN,LIPPSTADT,49011,,,,,,,,,,,,,,,,,,,
522,ARN,SOEST,61040,,,,,,,,,,,,,,,,,,,
540,ARN,HATTINGEN,97327,,,,,,,,,,,,,,,,,,,
544,ARN,SCHWELM,89767,,,,,,,,,,,,,,,,,,,
549,ARN,ALTENA,84449,,,,,,,,,,,,,,,,,,,
550,ARN,OLPE,50279,,,,,,,,,,,,,,,,,,,
551,ARN,SIEGEN,114828,,,,,,,,,,,,,,,,,,,
552,ARN,WITTGENSTEIN,25474,,,,,,,,,,,,,,,,,,,
556,KAS,ESCHWEGE,45875,,,,,,,,,,,,,,,,,,,
