# Galloway 1994 GMFR replication, census year 1895
# Source: PS Heft 148:1
# Note: Direct cell: Married Female 15-49.
# Primary cell: mwf_15_49_direct = Married Female 15-49 (or 15_49 where noted), as published per Kreis.
# Fallback cells (if direct not given): mwf_15_19 + mwf_20_24 + ... + mwf_45_49.
#
Code,Rb,Kreis,pop_total_1895_galloway,mwf_15_49_direct,mwf_15_19,mwf_20_24,mwf_25_29,mwf_30_34,mwf_35_39,mwf_40_44,mwf_45_49,mwf_50p,twf_15_19,twf_20_24,twf_25_29,twf_30_34,twf_35_39,twf_40_44,twf_45_49,twf_50p,source_page,notes
247,LIE,SPROTTAU,37002,,,,,,,,,,,,,,,,,,,
248,LIE,GLOGAU,74173,,,,,,,,,,,,,,,,,,,
249,LIE,LUBEN,32043,,,,,,,,,,,,,,,,,,,
250,LIE,BUNZLAU,61640,,,,,,,,,,,,,,,,,,,
251,LIE,GOLDBERG-HAINAU,50136,,,,,,,,,,,,,,,,,,,
255,LIE,JAUER,35000,,,,,,,,,,,,,,,,,,,
256,LIE,SCHONAU,24171,,,,,,,,,,,,,,,,,,,
257,LIE,BOLKENHAIN,30146,,,,,,,,,,,,,,,,,,,
258,LIE,LANDESHUT,49150,,,,,,,,,,,,,,,,,,,
259,LIE,HIRSCHBERG,72734,,,,,,,,,,,,,,,,,,,
260,LIE,LOWENBERG,60511,,,,,,,,,,,,,,,,,,,
261,LIE,LAUBAN,68818,,,,,,,,,,,,,,,,,,,
265,LIE,ROTHENBURG,53066,,,,,,,,,,,,,,,,,,,
266,LIE,HOYERSWERDA,35109,,,,,,,,,,,,,,,,,,,
267,OPP,KREUZBURG,46339,,,,,,,,,,,,,,,,,,,
268,OPP,ROSENBERG,49105,,,,,,,,,,,,,,,,,,,
269,OPP,OPPELN,129181,,,,,,,,,,,,,,,,,,,
272,OPP,GROSS STREHLITZ,69666,,,,,,,,,,,,,,,,,,,
273,OPP,LUBLINITZ,46259,,,,,,,,,,,,,,,,,,,
277,OPP,TOST-GLEIWITZ,112428,,,,,,,,,,,,,,,,,,,
278,OPP,TARNOWITZ,57546,,,,,,,,,,,,,,,,,,,
283,OPP,ZABRZE,91137,,,,,,,,,,,,,,,,,,,
284,OPP,KATTOWITZ,145223,,,,,,,,,,,,,,,,,,,
287,OPP,PLESS,101979,,,,,,,,,,,,,,,,,,,
288,OPP,RYBNIK,87557,,,,,,,,,,,,,,,,,,,
289,OPP,RATIBOR,141476,,,,,,,,,,,,,,,,,,,
292,OPP,KOSEL,70606,,,,,,,,,,,,,,,,,,,
293,OPP,LEOBSCHUTZ,86210,,,,,,,,,,,,,,,,,,,
294,OPP,NEUSTADT,98764,,,,,,,,,,,,,,,,,,,
295,OPP,FALKENBERG,38816,,,,,,,,,,,,,,,,,,,
